id,packageId,parentPoolId,poolId,investorId,assetTypes,apr
NAVI-DEEP,0x40dd49f8cc27562848eb44e1ed966a5c0d7351c50771f31c7b0d69c70b636b9b,0x08373c5efffd07f88eace1c76abe4777489d9ec044fd4cd567f982d9c169e946,0x16a5cc859b1af17b7478c79ff43e67cc5f5e5d257fba21839060dd398a9eb958,0x1e5d64f161663c0437dc34cdb1e200f983ecaad882ab3bb891a3104d2825a534,0xdeeb7a4662eec9f2f3def03fb937a663dddaa2e215b8078a284d026b7946c270::deep::DEEP,38.914737047739635
NAVI-WAL,0x40dd49f8cc27562848eb44e1ed966a5c0d7351c50771f31c7b0d69c70b636b9b,0xef76883525f5c2ff90cd97732940dbbdba0b391e29de839b10588cee8e4fe167,0x8ceca427f6fef09f7691eb2c9f1bf41e4854230f9e1bd21322b3ea7f76ee6975,0xe261d6b63ba101a6cd79adfe69c8499a13a590170e2554072edfa10b770cfbe6,0x2053d08c1e2bd02791056171aab0fd12bd7cd7efad2ab8f6b9c8902f14df2ff2::ausd::AUSD,80.41374184425149
BLUEFIN-AUTOBALANCE-WAL-USDC,0xa9d25a64c0268dad662198b4addf61aba0156c7ce2e1c190388eab16c6ab33dc,0xbcc6909d2e85c06cf9cbfe5b292da36f5bfa0f314806474bbf6a0bf9744d37ce,0x82938703e493c5759c4fa1218d7b7f82fd0356714dfc32eae457479f1f71c225,0xab8585241f83c4e9cfe4d3b36af4b640a0c309b2b60be2c07b2246c32e5d8b4e,0x356a26eb9e012a68958082340d4c4116e7f55615cf27affcff209cf0ae544f59::wal::WAL|0xdba34672e30cb065b1f93e3ab55318768fd6fef66c15942c9f7cb846e2f900e7::usdc::USDC,57.2665
BLUEFIN-WAL-STSUI,0xb280f3d71be3f5e53f0cfaef8c5555697e91db6d8f148e213fb053fabd4b4f76,0xee0d89310b7216a8ef86cd2af0dd22382f4be2049cd073603b7099d9846ab4ca,0x20f27f4b4e8de8e11aef5c59a4facc8367a92b24bd8302448bd97efbbaf9fec5,0xe171b8b8270e0e311362d55a0e21d387be6d549af8559f0d6ce3c4dfbb95deb7,0x356a26eb9e012a68958082340d4c4116e7f55615cf27affcff209cf0ae544f59::wal::WAL|0xd1b72982e40348d069bb1ff701e634c117bb5f741f44dff91e472d3b01461e55::stsui::STSUI,94.31397789012763
BLUEFIN-WAL-USDC,0x67396508929c97242f88497a3e020fad83cbdbba7fbdaff80e8a607ee40f1524,0xbcc6909d2e85c06cf9cbfe5b292da36f5bfa0f314806474bbf6a0bf9744d37ce,0x2781cca45bd57e1205b46dd439baf5233a0f02c4016e0a6b0d1f84036f47d109,0x386445d435618922939a998c59593558d576821b5adceb1279b72731fbefaa38,0x356a26eb9e012a68958082340d4c4116e7f55615cf27affcff209cf0ae544f59::wal::WAL|0xdba34672e30cb065b1f93e3ab55318768fd6fef66c15942c9f7cb846e2f900e7::usdc::USDC,183.07041583470019
USDC-SUIUSDT,0xa750bb127f41ea554646dea7651a7ed44558619f90cd2c79e5e0a425492c5473,0x7df346f8ef98ad20869ff6d2fc7c43c00403a524987509091b39ce61dde00957,0x59ec4223043e2bbbcd519bf161088b81946193b0580d6ce94b48e9cb659c6efa,0x6285c57b0d86cbe585abfe5b23d74f96243f450381ef4d57604164e76a76f4c8,0xdba34672e30cb065b1f93e3ab55318768fd6fef66c15942c9f7cb846e2f900e7::usdc::USDC|0x375f70cf2ae4c00bf37117d0c85a2c71545e6ee05c4a5c7d282cd66a4504b068::usdt::USDT,12.390438803140071
BLUEFIN-LBTC-SUIBTC,0x14ddc3f610fa2fdf96409fa8a86986e9f1c75dde74c3b9ed71b4057f28bcceb8,0x715959c4a67cc6b8d2d4c0db628618d947a032041453a24c3a5315beb613331a,0xd30d849bbddd0c1bc0e2eb552c2dacdf4ae998cc03cd485640eb3db7f456e295,0x43523544dd4e7900ac6aeb8299e1aebd5d72bf7fae97f1a3b988c31e08b1bacc,0x3e8e9423d80e1774a7ca128fccd8bf5f1f7753be658c5e645929037f7c819040::lbtc::LBTC|0xaafb102dd0902f5055cadecd687fb5b71ca82ef0e0285d90afde828ec58ca96b::btc::BTC,7.601574493923457
BLUEFIN-AUTOBALANCE-SUI-LBTC,0xa9d25a64c0268dad662198b4addf61aba0156c7ce2e1c190388eab16c6ab33dc,0xa0153768c7ed857ffd8bad4708da873fb7825a6878e5f4c83f5df4c091933e56,0xafc0dc5166233af565e30e24755c401ff8958a28a8fdfdbbf407236b67725695,0x7a8fc71060975c6e16083c723f376eaf41aab466d0a773c06a68f8f07040998a,0x0000000000000000000000000000000000000000000000000000000000000002::sui::SUI|0x3e8e9423d80e1774a7ca128fccd8bf5f1f7753be658c5e645929037f7c819040::lbtc::LBTC,12.4304
BLUEFIN-FUNGIBLE-STSUI-SUI,0xfdf44ce9bc239b170a97b49ff93947edd1c00dfc054e8474043740a4dd98c37f,0x73549e0918d10727e324ebeed11ab81ab46f8fadb11078a0641f117d9097b725,0x0b45d1e5889b524dc1a472f59651cdedb8e0a2678e745f27975a9b57c127acdd,0xaec347c096dd7e816febd8397be4cca3aabc094a9a2a1f23d7e895564f859dc2,0xd1b72982e40348d069bb1ff701e634c117bb5f741f44dff91e472d3b01461e55::stsui::STSUI|0x2::sui::SUI,4.676651451028974
NAVI-SUIUSDT,0x40dd49f8cc27562848eb44e1ed966a5c0d7351c50771f31c7b0d69c70b636b9b,0xa3e0471746e5d35043801bce247d3b3784cc74329d39f7ed665446ddcf22a9e2,0x1d30d1b07d78341810a604ad34734001b3b70362c6502de2220999074429a641,0x30432ba26016f1f1155d4a8baaa64306283dc9640cc8a42e6e3c91b1d5ba9bd4,0x375f70cf2ae4c00bf37117d0c85a2c71545e6ee05c4a5c7d282cd66a4504b068::usdt::USDT,2.4402143124617384
NAVI-SUIBTC,0x67e60fe54edc2cb84f7a15b4066f1b5b69316a11548c9a5a1dccfb987807b334,0x348f4049063e6c4c860064d67a170a7b3de033db9d67545d98fa5da3999966bc,0x17743a10e89b108fd7c048e7737ce09082e3ef91f416ee93c2566c5dd3f438db,0x469237db8da554e6f061c50a0f1e106fba6775a194984b24b4827c1f9c122606,0xaafb102dd0902f5055cadecd687fb5b71ca82ef0e0285d90afde828ec58ca96b::btc::BTC,6.647495899926868
BLUEFIN-SUIBTC-USDC,0x14ddc3f610fa2fdf96409fa8a86986e9f1c75dde74c3b9ed71b4057f28bcceb8,0xf0e4772e80800550368973d1f8ab2c9a7241ace8df8770452ee2bf3e3e67b8a1,0x4043b9e628d0cc6c2e3f322e6a7bddf603a3bcc084992355b55f4c23516bb6ba,0x6876c4b19075ee774ca368a4a782c9425cca97251093dafa7ff239a846b3ee30,0xaafb102dd0902f5055cadecd687fb5b71ca82ef0e0285d90afde828ec58ca96b::btc::BTC|0xdba34672e30cb065b1f93e3ab55318768fd6fef66c15942c9f7cb846e2f900e7::usdc::USDC,48.17139240475583
